Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.04     66.81     0.03        1     0.03     0.05  Solver::init_val(double, std::pair<double, double>*)
  0.03     66.83     0.02  1000000     0.00     0.00  std::pair<double, double>::pair()
  0.03     66.85     0.02   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::at(unsigned long)
  0.03     66.87     0.02   941192     0.00     0.00  std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.03     66.89     0.02   812160     0.00     0.00  Solver::ohmic_contact(unsigned long)
  0.01     66.90     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::end() const
  0.01     66.91     0.01   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::size() const
  0.01     66.92     0.01        3     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.01     66.93     0.01        2     0.01     0.01  Solver::write_2D(double*, std::string)
  0.01     66.94     0.01        1     0.01     0.01  std::_Bit_iterator::operator+(long) const
  0.01     66.95     0.01        1     0.01     0.01  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     66.95     0.00   941192     0.00     0.00  std::vector<bool, std::allocator<bool> >::_M_range_check(unsigned long) const
  0.00     66.95     0.00    40000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  0.00     66.95     0.00    40000     0.00     0.00  std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     66.95     0.00    20000     0.00     0.00  std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     66.95     0.00    20000     0.00     0.00  std::setprecision(int)
  0.00     66.95     0.00    20000     0.00     0.00  std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     66.95     0.00    20000     0.00     0.00  std::operator~(std::_Ios_Fmtflags)
  0.00     66.95     0.00    20000     0.00     0.00  std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags)
  0.00     66.95     0.00    20000     0.00     0.00  std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags)
  0.00     66.95     0.00    17584     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00     66.95     0.00       64     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00     66.95     0.00       40     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00     66.95     0.00       40     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00     66.95     0.00       40     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00     66.95     0.00       32     0.00     0.00  std::_Iter_base<int const*, false>::_S_base(int const*)
  0.00     66.95     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00     66.95     0.00       24     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00     66.95     0.00       24     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::operator[](unsigned long)
  0.00     66.95     0.00       24     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00     66.95     0.00       24     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00     66.95     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00     66.95     0.00       16     0.00     0.00  std::move_iterator<int*>::base() const
  0.00     66.95     0.00       16     0.00     0.00  std::initializer_list<int>::begin() const
  0.00     66.95     0.00       16     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00     66.95     0.00       16     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00     66.95     0.00       16     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00     66.95     0.00       16     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00     66.95     0.00       16     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<int> >::__maxsize_helper<std::allocator<int> const>::value, unsigned long>::type std::allocator_traits<std::allocator<int> >::_S_max_size<std::allocator<int> const>(std::allocator<int> const&)
  0.00     66.95     0.00       16     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00     66.95     0.00       16     0.00     0.00  std::_Miter_base<int const*>::iterator_type std::__miter_base<int const*>(int const*)
  0.00     66.95     0.00       16     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00     66.95     0.00       16     0.00     0.00  std::_Niter_base<int const*>::iterator_type std::__niter_base<int const*>(int const*)
  0.00     66.95     0.00       16     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00     66.95     0.00        9     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00     66.95     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00     66.95     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00     66.95     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00     66.95     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00     66.95     0.00        8     0.00     0.00  std::initializer_list<int>::end() const
  0.00     66.95     0.00        8     0.00     0.00  std::initializer_list<int>::size() const
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::capacity() const
  0.00     66.95     0.00        8     0.00     0.00  std::allocator<int>::allocator()
  0.00     66.95     0.00        8     0.00     0.00  std::allocator<int>::~allocator()
  0.00     66.95     0.00        8     0.00     0.00  int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00     66.95     0.00        8     0.00     0.00  int* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.00     66.95     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00     66.95     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00     66.95     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00     66.95     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00     66.95     0.00        8     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00     66.95     0.00        8     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00     66.95     0.00        8     0.00     0.00  void std::__uninitialized_default_n_1<true>::__uninit_default_n<int*, unsigned long>(int*, unsigned long)
  0.00     66.95     0.00        8     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_assign_aux<int const*>(int const*, int const*, std::forward_iterator_tag)
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::_M_default_append(unsigned long)
  0.00     66.95     0.00        8     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_assign_dispatch<int const*>(int const*, int const*, std::__false_type)
  0.00     66.95     0.00        8     0.00     0.00  void std::vector<int, std::allocator<int> >::assign<int const*, void>(int const*, int const*)
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long)
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00     66.95     0.00        8     0.00     0.00  std::vector<int, std::allocator<int> >::operator=(std::initializer_list<int>)
  0.00     66.95     0.00        8     0.00     0.00  std::iterator_traits<int const*>::difference_type std::__distance<int const*>(int const*, int const*, std::random_access_iterator_tag)
  0.00     66.95     0.00        8     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, int*>::__type std::__fill_n_a<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00     66.95     0.00        8     0.00     0.00  Electrodes* std::__addressof<Electrodes>(Electrodes&)
  0.00     66.95     0.00        8     0.00     0.00  int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.00     66.95     0.00        8     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00     66.95     0.00        8     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.00     66.95     0.00        8     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00     66.95     0.00        8     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00     66.95     0.00        8     0.00     0.00  std::iterator_traits<int const*>::iterator_category std::__iterator_category<int const*>(int const* const&)
  0.00     66.95     0.00        8     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00     66.95     0.00        8     0.00     0.00  void std::__uninitialized_default_n<int*, unsigned long>(int*, unsigned long)
  0.00     66.95     0.00        8     0.00     0.00  void std::__uninitialized_default_n_a<int*, unsigned long, int>(int*, unsigned long, std::allocator<int>&)
  0.00     66.95     0.00        8     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00     66.95     0.00        8     0.00     0.00  int* std::copy<int const*, int*>(int const*, int const*, int*)
  0.00     66.95     0.00        8     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00     66.95     0.00        8     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00     66.95     0.00        8     0.00     0.00  std::iterator_traits<int const*>::difference_type std::distance<int const*>(int const*, int const*)
  0.00     66.95     0.00        7     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00     66.95     0.00        6     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     66.95     0.00        5     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.00     66.95     0.00        5     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.00     66.95     0.00        4     0.00     0.00  Electrodes::draw(Solver*)
  0.00     66.95     0.00        4     0.00     0.00  Electrodes::init_elec()
  0.00     66.95     0.00        4     0.00     0.00  Electrodes::Electrodes()
  0.00     66.95     0.00        4     0.00     0.00  Electrodes::~Electrodes()
  0.00     66.95     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     66.95     0.00        4     0.00     0.00  std::_Iter_base<double const*, false>::_S_base(double const*)
  0.00     66.95     0.00        4     0.00     0.00  void std::_Construct<Electrodes>(Electrodes*)
  0.00     66.95     0.00        4     0.00     0.00  void std::_Destroy<Electrodes>(Electrodes*)
  0.00     66.95     0.00        4     0.00     0.00  operator new(unsigned long, void*)
  0.00     66.95     0.00        3     0.00     0.00  Solver::del(double*)
  0.00     66.95     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00     66.95     0.00        3     0.00     0.00  std::allocator<double>::~allocator()
  0.00     66.95     0.00        3     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     66.95     0.00        3     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     66.95     0.00        3     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00     66.95     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Electrodes>::~new_allocator()
  0.00     66.95     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00     66.95     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00     66.95     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00     66.95     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::~new_allocator()
  0.00     66.95     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00     66.95     0.00        2     0.00     0.00  std::move_iterator<double*>::base() const
  0.00     66.95     0.00        2     0.00     0.00  std::initializer_list<double>::begin() const
  0.00     66.95     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >::max_size() const
  0.00     66.95     0.00        2     0.00     0.00  std::allocator<Electrodes>::~allocator()
  0.00     66.95     0.00        2     0.00     0.00  std::allocator<double>::allocator()
  0.00     66.95     0.00        2     0.00     0.00  std::allocator<unsigned long>::~allocator()
  0.00     66.95     0.00        2     0.00     0.00  std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)
  0.00     66.95     0.00        2     0.00     0.00  std::_Iter_base<std::move_iterator<double*>, true>::_S_base(std::move_iterator<double*>)
  0.00     66.95     0.00        2     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_M_get_Tp_allocator()
  0.00     66.95     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00     66.95     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00     66.95     0.00        2     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00     66.95     0.00        2     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00     66.95     0.00        2     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00     66.95     0.00        2     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<double> >::__maxsize_helper<std::allocator<double> const>::value, unsigned long>::type std::allocator_traits<std::allocator<double> >::_S_max_size<std::allocator<double> const>(std::allocator<double> const&)
  0.00     66.95     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00     66.95     0.00        2     0.00     0.00  std::_Miter_base<double const*>::iterator_type std::__miter_base<double const*>(double const*)
  0.00     66.95     0.00        2     0.00     0.00  std::_Miter_base<std::move_iterator<double*> >::iterator_type std::__miter_base<std::move_iterator<double*> >(std::move_iterator<double*>)
  0.00     66.95     0.00        2     0.00     0.00  std::_Niter_base<double const*>::iterator_type std::__niter_base<double const*>(double const*)
  0.00     66.95     0.00        2     0.00     0.00  std::_Niter_base<unsigned long*>::iterator_type std::__niter_base<unsigned long*>(unsigned long*)
  0.00     66.95     0.00        2     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double*, std::move_iterator<double*> >(double*)
  0.00     66.95     0.00        2     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00     66.95     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN10Electrodes9init_elecEv
  0.00     66.95     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     66.95     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     66.95     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     66.95     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     66.95     0.00        1     0.00     0.00  Solver::del(std::pair<double, double>*)
  0.00     66.95     0.00        1     0.00     0.00  Solver::del(int*)
  0.00     66.95     0.00        1     0.00    66.07  Solver::solve()
  0.00     66.95     0.00        1     0.00     0.00  Solver::set_BCs(double, double, double, double, double, double)
  0.00     66.95     0.00        1     0.00     0.00  Solver::set_val(double, double)
  0.00     66.95     0.00        1     0.00     0.00  Solver::set_val(double, double, double)
  0.00     66.95     0.00        1     0.00     0.00  Solver::set_val(int, int, int)
  0.00     66.95     0.00        1     0.00     0.00  Solver::Solver()
  0.00     66.95     0.00        1     0.00     0.01  Solver::~Solver()
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Electrodes>::deallocate(Electrodes*, unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Electrodes>::allocate(unsigned long, void const*)
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Electrodes>::new_allocator(__gnu_cxx::new_allocator<Electrodes> const&)
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Electrodes>::new_allocator()
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<bool>::new_allocator()
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<bool>::~new_allocator()
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator(__gnu_cxx::new_allocator<unsigned long> const&)
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::new_allocator()
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Electrodes>::max_size() const
  0.00     66.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned long>::max_size() const
  0.00     66.95     0.00        1     0.00     0.00  std::initializer_list<double>::end() const
  0.00     66.95     0.00        1     0.00     0.00  std::initializer_list<double>::size() const
  0.00     66.95     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::_M_check_len(unsigned long, char const*) const
  0.00     66.95     0.00        1     0.00     0.00  std::allocator<Electrodes>::allocator()
  0.00     66.95     0.00        1     0.00     0.00  std::allocator<Electrodes>::allocator(std::allocator<Electrodes> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::allocator<bool>::allocator()
  0.00     66.95     0.00        1     0.00     0.00  std::allocator<bool>::~allocator()
  0.00     66.95     0.00        1     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::allocator<unsigned long>::allocator<bool>(std::allocator<bool> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::allocator<unsigned long>::allocator(std::allocator<unsigned long> const&)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__copy_move<true, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00     66.95     0.00        1     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Electrodes*>(Electrodes*, Electrodes*)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_M_allocate(unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_Vector_impl::_Vector_impl(std::allocator<Electrodes> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_Vector_impl::~_Vector_impl()
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_M_deallocate(Electrodes*, unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_M_create_storage(unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::_Vector_base(unsigned long, std::allocator<Electrodes> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<Electrodes, std::allocator<Electrodes> >::~_Vector_base()
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00     66.95     0.00        1     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00     66.95     0.00        1     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long)
  0.00     66.95     0.00        1     0.00     0.20  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long>&&)
  0.00     66.95     0.00        1     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00     66.95     0.00        1     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00     66.95     0.00        1     0.00     0.20  std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.00     66.95     0.00        1     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<double const*, double*>(double const*, double const*, double*)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     66.95     0.00        1     0.00     0.00  void std::__uninitialized_default_n_1<false>::__uninit_default_n<Electrodes*, unsigned long>(Electrodes*, unsigned long)
  0.00     66.95     0.00        1     0.00     0.01  void std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::_M_default_initialize(unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::vector(unsigned long, std::allocator<Electrodes> const&)
  0.00     66.95     0.00        1     0.00     0.00  std::vector<Electrodes, std::allocator<Electrodes> >::~vector()
  0.00     66.95     0.00        1     0.00     0.01  std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long)
  0.00     66.95     0.00        1     0.00     0.21  std::vector<bool, std::allocator<bool> >::vector(unsigned long, std::allocator<bool> const&)
  0.00     66.95     0.00        1     0.00     0.21  std::vector<bool, std::allocator<bool> >::vector(unsigned long, bool const&, std::allocator<bool> const&)
  0.00     66.95     0.00        1     0.00     0.01  std::vector<double, std::allocator<double> >::_M_default_append(unsigned long)
  0.00     66.95     0.00        1     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_range_initialize<double const*>(double const*, double const*, std::forward_iterator_tag)
  0.00     66.95     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00     66.95     0.00        1     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::initializer_list<double>, std::allocator<double> const&)
  0.00     66.95     0.00        1     0.00     0.01  std::vector<double, std::allocator<double> >::~vector()
  0.00     66.95     0.00        1     0.00     0.00  std::iterator_traits<double const*>::difference_type std::__distance<double const*>(double const*, double const*, std::random_access_iterator_tag)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__copy_move_a<false, double const*, double*>(double const*, double const*, double*)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__copy_move_a<true, double*, double*>(double*, double*, double*)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__copy_move_a2<false, double const*, double*>(double const*, double const*, double*)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__copy_move_a2<true, double*, double*>(double*, double*, double*)
  0.00     66.95     0.00        1     0.00     0.00  double* std::uninitialized_copy<double const*, double*>(double const*, double const*, double*)
  0.00     66.95     0.00        1     0.00     0.00  double* std::uninitialized_copy<std::move_iterator<double*>, double*>(std::move_iterator<double*>, std::move_iterator<double*>, double*)
  0.00     66.95     0.00        1     0.00     0.00  std::iterator_traits<double const*>::iterator_category std::__iterator_category<double const*>(double const* const&)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__uninitialized_copy_a<double const*, double*, double>(double const*, double const*, double*, std::allocator<double>&)
  0.00     66.95     0.00        1     0.00     0.00  double* std::__uninitialized_copy_a<std::move_iterator<double*>, double*, double>(std::move_iterator<double*>, std::move_iterator<double*>, double*, std::allocator<double>&)
  0.00     66.95     0.00        1     0.00     0.00  void std::__uninitialized_default_n<Electrodes*, unsigned long>(Electrodes*, unsigned long)
  0.00     66.95     0.00        1     0.00     0.01  void std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
